FO_name;Subj_Name;Col_num;1;2;3;4;5;6;7;8;9;10;11;12;13;14
УФО;Тюменская область;3;3336;2134;42;720;1031;374;592;16;4;146;55;1135;67;421
УФО;Тюменская область;4;1116;297;32;450;712;172;45;0;0;0;0;0;0;0
УФО;Тюменская область;5;421;182;20;161;310;102;15;0;0;0;0;0;0;0
УФО;Ханты-Мансийский автономный округ — Югра;3;628;288;4;306;447;126;46;3;2;43;10;66;134;119
УФО;Ханты-Мансийский автономный округ — Югра;4;240;87;0;127;170;18;6;0;0;0;0;0;0;0
УФО;Ханты-Мансийский автономный округ — Югра;5;117;35;0;37;100;1;6;0;0;0;0;0;0;0
УФО;Челябинская область;3;2104;711;55;1560;1936;1264;248;2;1;187;31;302;164;326
УФО;Челябинская область;4;1510;535;52;1123;1334;917;194;0;0;0;0;0;0;0
УФО;Челябинская область;5;445;237;20;257;348;80;13;0;0;0;0;0;0;0
УФО;Ямало-Ненецкий автономный округ;3;457;79;5;245;224;249;27;2;1;31;17;64;17;57
УФО;Ямало-Ненецкий автономный округ;4;289;40;4;182;97;186;16;0;0;0;0;0;0;0
УФО;Ямало-Ненецкий автономный округ;5;151;7;0;93;59;80;10;0;0;0;0;0;0;0
ЦФО;Белгородская область;3;352;68;28;265;352;75;36;1;0;21;13;51;14;46
ЦФО;Белгородская область;4;198;34;28;137;198;29;15;0;0;0;0;0;0;0
ЦФО;Белгородская область;5;98;15;0;69;98;27;1;0;0;0;0;0;0;0
ЦФО;Брянская область;3;474;117;27;231;431;265;4;0;0;52;14;151;32;85
ЦФО;Брянская область;4;269;73;22;130;197;110;1;0;0;0;0;0;0;0
ЦФО;Брянская область;5;132;32;0;72;90;65;0;0;0;0;0;0;0;0
ЦФО;Владимирская область;3;48;28;0;6;31;10;5;0;0;5;2;12;4;14
ЦФО;Владимирская область;4;31;22;0;0;14;4;0;0;0;0;0;0;0;0
ЦФО;Владимирская область;5;21;17;0;0;6;4;0;0;0;0;0;0;0;0
ЦФО;Воронежская область;3;937;525;230;867;892;852;15;8;8;100;32;194;46;94
ЦФО;Воронежская область;4;719;372;211;669;695;659;15;0;0;0;0;0;0;0
ЦФО;Воронежская область;5;171;18;68;129;152;116;0;0;0;0;0;0;0;0
ЦФО;Ивановская область;3;38;18;0;0;22;0;0;0;0;1;0;2;0;15
ЦФО;Ивановская область;4;23;14;0;0;10;0;0;0;0;0;0;0;0;0
ЦФО;Ивановская область;5;10;1;0;0;10;0;0;0;0;0;0;0;0;0
ЦФО;Калужская область;3;1807;638;23;1293;1500;723;529;1;1;106;13;173;91;277
ЦФО;Калужская область;4;848;460;22;622;794;135;145;0;0;0;0;0;0;0
ЦФО;Калужская область;5;451;245;0;327;444;118;81;0;0;0;0;0;0;0
ЦФО;Костромская область;3;373;129;9;309;334;295;6;0;0;27;10;92;41;44
ЦФО;Костромская область;4;263;117;9;220;237;217;6;0;0;0;0;0;0;0
ЦФО;Костромская область;5;243;109;9;215;226;208;1;0;0;0;0;0;0;0
ЦФО;Курская область;3;520;185;2;331;451;51;11;2;2;56;26;111;30;63
ЦФО;Курская область;4;426;162;0;269;360;25;2;0;0;0;0;0;0;0
ЦФО;Курская область;5;247;76;0;142;209;12;0;0;0;0;0;0;0;0
ЦФО;Липецкая область;3;243;93;14;142;180;133;29;3;2;29;16;81;25;48
ЦФО;Липецкая область;4;143;74;14;55;76;48;19;0;0;0;0;0;0;0
ЦФО;Липецкая область;5;127;67;14;32;48;22;4;0;0;0;0;0;0;0
ЦФО;Москва;3;7886;2748;124;5687;6962;3146;977;52;5;693;135;1387;313;926
ЦФО;Москва;4;4781;1600;48;3624;3968;1832;623;0;0;0;0;0;0;0
ЦФО;Москва;5;1598;416;4;1102;1188;531;68;0;0;0;0;0;0;0
ЦФО;Московская область;3;3011;754;146;1588;1916;947;268;6;4;191;81;597;174;447
ЦФО;Московская область;4;1721;443;121;769;842;378;106;0;0;0;0;0;0;0
