FO_name;Subj_Name;Col_num;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47
ДВФО;Приморский край;11;1496;1271;3;155;26;9;17;0;0;0;0;0;0;128;52;29;12;0;2;10;23;0;0;0;0;0;8;4;22;0;22;0;0;0;0;0;40;985;433;552;13;0;13;0;0;0;0
ДВФО;Приморский край;12;371;217;2;154;26;9;17;0;0;0;0;0;0;127;52;29;12;0;1;10;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;10;0;0;0;0
ДВФО;Приморский край;13;1125;1054;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;8;4;22;0;22;0;0;0;0;0;40;985;433;552;3;0;3;0;0;0;0
ДВФО;Приморский край;14;29871;14225;364;10637;652;248;347;13;0;19;7;18;0;9215;1856;4549;915;0;1411;3;481;0;2193;159;125;29;308;260;1014;209;442;688;418;261;9;0;652;6158;886;5272;13649;571;12207;488;383;0;0
ДВФО;Республика Бурятия;3;12255;7293;451;2561;132;32;47;10;0;36;1;6;0;2423;166;855;282;0;981;7;128;4;370;36;660;0;337;332;135;98;37;215;204;0;10;1;684;1927;475;1452;5635;495;5088;42;10;0;0
ДВФО;Республика Бурятия;4;8863;5182;406;1962;84;20;37;10;0;12;1;4;0;1877;108;565;268;0;813;5;114;4;323;34;521;0;205;203;64;28;36;102;97;0;4;1;504;1655;332;1323;4408;362;4007;31;8;0;0
ДВФО;Республика Бурятия;5;4329;2381;170;1131;48;10;20;3;0;12;1;2;0;1083;88;375;185;0;402;0;33;0;100;14;296;0;43;42;0;0;0;95;91;0;3;1;283;1080;128;952;2519;192;2311;12;4;0;0
ДВФО;Республика Бурятия;6;4534;2801;236;831;36;10;17;7;0;0;0;2;0;794;20;190;83;0;411;5;81;4;223;20;225;0;162;161;64;28;36;7;6;0;1;0;221;575;204;371;1889;170;1696;19;4;0;0
ДВФО;Республика Бурятия;7;3392;2111;45;599;48;12;10;0;0;24;0;2;0;546;58;290;14;0;168;2;14;0;47;2;139;0;132;129;71;70;1;113;107;0;6;0;180;272;143;129;1227;133;1081;11;2;0;0
ДВФО;Республика Бурятия;8;2322;1808;18;202;23;0;0;0;0;22;0;1;0;174;25;5;7;0;134;0;3;0;26;1;21;0;109;106;70;70;0;39;36;0;3;0;47;161;143;18;505;48;452;5;0;0;0
ДВФО;Республика Бурятия;9;1070;303;27;397;25;12;10;0;0;2;0;1;0;372;33;285;7;0;34;2;11;0;21;1;118;0;23;23;1;0;1;74;71;0;3;0;133;111;0;111;722;85;629;6;2;0;0
ДВФО;Республика Бурятия;10;584;138;6;290;23;11;10;0;0;1;0;1;0;263;37;217;3;0;3;2;1;0;23;0;35;0;54;52;0;0;0;9;8;0;1;0;35;39;0;39;165;15;149;1;0;0;0
ДВФО;Республика Бурятия;11;284;215;31;44;0;0;0;0;0;0;0;0;0;44;0;0;44;0;0;0;0;0;23;0;0;0;2;2;0;0;0;0;0;0;0;0;0;121;3;118;120;1;119;0;0;0;0
ДВФО;Республика Бурятия;12;209;140;23;44;0;0;0;0;0;0;0;0;0;44;0;0;44;0;0;0;0;0;23;0;0;0;2;2;0;0;0;0;0;0;0;0;0;59;3;56;107;1;106;0;0;0;0
ДВФО;Республика Бурятия;13;75;75;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62;0;62;13;0;13;0;0;0;0
ДВФО;Республика Бурятия;14;8458;4944;136;1922;82;23;23;7;0;27;1;1;0;1828;152;721;211;0;669;7;67;1;256;23;386;0;290;289;65;13;0;129;125;0;4;0;466;1070;132;938;3555;288;3225;35;7;0;0
ДВФО;Республика Саха (Якутия);3;40860;12582;1924;22623;2944;604;1552;477;0;257;2;50;2;19544;5562;10963;1124;16;938;13;928;0;1156;50;1061;0;303;282;141;0;141;432;369;12;23;28;2562;6523;1669;4854;15182;2420;10653;600;1509;7;0
ДВФО;Республика Саха (Якутия);4;37536;11606;1755;21497;2799;568;1519;426;0;237;2;47;0;18563;5287;10530;990;16;898;7;835;0;989;48;902;0;130;130;128;0;128;304;254;5;17;28;1980;5796;1254;4542;13728;2080;9663;587;1398;7;0
ДВФО;Республика Саха (Якутия);5;27653;7845;1668;16954;2114;423;1111;383;0;174;2;21;0;14718;4149;8660;845;16;592;7;449;0;914;45;791;0;23;23;125;0;125;212;188;5;17;2;789;3471;878;2593;9052;1484;6515;561;492;6;0
ДВФО;Республика Саха (Якутия);6;9883;3761;87;4543;685;145;408;43;0;63;0;26;0;3845;1138;1870;145;0;306;0;386;0;75;3;111;0;107;107;3;0;3;92;66;0;0;26;1191;2325;376;1949;4676;596;3148;26;906;1;0
ДВФО;Республика Саха (Якутия);7;3324;976;169;1126;145;36;33;51;0;20;0;3;2;981;275;433;134;0;40;6;93;0;167;2;159;0;173;152;13;0;13;128;115;7;6;0;582;727;415;312;1454;340;990;13;111;0;0
ДВФО;Республика Саха (Якутия);8;1774;451;29;461;27;2;0;10;0;10;0;3;2;434;174;127;65;0;39;6;23;0;64;2;128;0;127;106;0;0;1;43;39;2;2;0;500;540;288;252;696;202;466;12;16;0;0
ДВФО;Республика Саха (Якутия);9;1550;525;140;665;118;34;33;41;0;10;0;0;0;547;101;306;69;0;1;0;70;0;103;0;31;0;46;46;13;0;12;85;76;5;4;0;82;187;127;60;758;138;524;1;95;0;0
ДВФО;Республика Саха (Якутия);10;2079;648;137;709;74;25;25;13;0;11;0;0;0;436;188;198;22;0;7;0;21;0;110;2;42;0;106;104;1;0;0;107;94;7;6;0;356;303;59;244;952;264;590;3;95;0;0
ДВФО;Республика Саха (Якутия);11;5561;1162;681;4381;1010;230;468;306;0;6;0;0;0;3046;1166;1362;165;0;46;0;307;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;17;277;123;154;720;241;460;3;16;0;0
ДВФО;Республика Саха (Якутия);12;5067;1147;681;3902;935;204;440;285;0;6;0;0;0;2651;1092;1135;127;0;46;0;251;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;17;277;123;154;720;241;460;3;16;0;0
ДВФО;Республика Саха (Якутия);13;494;15;0;479;75;26;28;21;0;0;0;0;0;395;74;227;38;0;0;0;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Республика Саха (Якутия);14;27270;4271;315;19388;2469;560;1227;435;0;206;2;39;0;14191;4242;8006;735;2;617;7;582;0;728;21;715;0;206;204;14;0;14;202;176;8;18;0;1746;2451;329;2122;8578;1529;5518;284;1247;2;0
