FO_name;Subj_Name;Col_num;1;2;3;4;5;6;7;8;9
СКФО;Чеченская Республика;7;0;0;0;0;0;0;0;0;
СКФО;Чеченская Республика;8;2774;2060;0;2060;714;57;657;0;
СКФО;Чеченская Республика;9;0;0;0;0;0;0;0;0;
СФО;Алтайский край;3;37666;30933;12525;18408;6733;5015;1718;1904;20187
СФО;Алтайский край;4;16322;14160;6572;7588;2162;1794;368;899;
СФО;Алтайский край;5;4304;3890;1707;2183;414;319;95;73;
СФО;Алтайский край;6;16212;13003;4730;8273;3209;2326;883;803;
СФО;Алтайский край;7;3241;3004;1351;1653;237;170;67;0;
СФО;Алтайский край;8;5132;3770;1223;2547;1362;895;467;202;
СФО;Алтайский край;9;1324;922;192;730;402;185;217;39;
СФО;Иркутская область;3;87255;81200;41478;39722;6055;3260;2795;2893;34699
СФО;Иркутская область;4;61874;58707;33475;25232;3167;1764;1403;1288;
СФО;Иркутская область;5;21484;20951;10879;10072;533;378;155;107;
СФО;Иркутская область;6;15820;14283;2350;11933;1537;760;777;742;
СФО;Иркутская область;7;6654;6616;818;5798;38;38;0;4;
СФО;Иркутская область;8;9561;8210;5653;2557;1351;736;615;863;
СФО;Иркутская область;9;2344;2321;1444;877;23;3;20;0;
СФО;Кемеровская область;3;71103;64065;22135;41930;7038;4057;2981;4241;26345
СФО;Кемеровская область;4;46640;42774;12135;30639;3866;2621;1245;2614;
СФО;Кемеровская область;5;19016;17619;3089;14530;1397;1157;240;971;
СФО;Кемеровская область;6;20776;18124;8351;9773;2652;1084;1568;1426;
СФО;Кемеровская область;7;3125;2955;709;2246;170;168;2;36;
СФО;Кемеровская область;8;3687;3167;1649;1518;520;352;168;201;
СФО;Кемеровская область;9;1190;1104;333;771;86;77;9;0;
СФО;Красноярский край;3;105939;95804;57758;38046;10135;6639;3496;3742;26580
СФО;Красноярский край;4;83423;78850;51337;27513;4573;3131;1442;2558;
СФО;Красноярский край;5;27621;26956;11181;15775;665;452;213;151;
СФО;Красноярский край;6;15201;10212;2802;7410;4989;3095;1894;1042;
СФО;Красноярский край;7;3733;3444;547;2897;289;144;145;183;
СФО;Красноярский край;8;7315;6742;3619;3123;573;413;160;142;
СФО;Красноярский край;9;3399;3343;1784;1559;56;56;0;0;
СФО;Новосибирская область;3;174356;152725;90296;62429;21631;16483;5148;8053;70779
СФО;Новосибирская область;4;110096;98024;61011;37013;12072;8713;3359;3402;
СФО;Новосибирская область;5;19483;15254;9071;6183;4229;3043;1186;314;
СФО;Новосибирская область;6;44586;38327;18777;19550;6259;5274;985;3180;
СФО;Новосибирская область;7;13837;12091;3907;8184;1746;1376;370;1551;
СФО;Новосибирская область;8;19674;16374;10508;5866;3300;2496;804;1471;
СФО;Новосибирская область;9;3922;3189;2648;541;733;677;56;530;
СФО;Омская область;3;123158;96984;53714;43270;26174;20262;5912;7987;29665
СФО;Омская область;4;70796;55107;36570;18537;15689;13412;2277;2624;
СФО;Омская область;5;16068;14443;10217;4226;1625;301;1324;96;
СФО;Омская область;6;24318;20329;6603;13726;3989;2109;1880;1853;
СФО;Омская область;7;5973;4968;758;4210;1005;799;206;222;
СФО;Омская область;8;28044;21548;10541;11007;6496;4741;1755;3510;
СФО;Омская область;9;2047;1832;891;941;215;196;19;0;
СФО;Республика Алтай;3;7696;6500;3323;3177;1196;780;416;412;1960
СФО;Республика Алтай;4;4445;3752;1910;1842;693;396;297;319;
СФО;Республика Алтай;5;1872;1677;691;986;195;195;0;40;
СФО;Республика Алтай;6;2868;2487;1153;1334;381;365;16;0;
СФО;Республика Алтай;7;1454;1454;120;1334;0;0;0;0;
СФО;Республика Алтай;8;383;261;260;1;122;19;103;93;
СФО;Республика Алтай;9;10;0;0;0;10;0;10;0;
СФО;Республика Тыва;3;13526;11962;8758;3204;1564;1210;354;869;4203
СФО;Республика Тыва;4;11336;10702;8217;2485;634;634;0;479;
СФО;Республика Тыва;5;2932;2820;2777;43;112;112;0;0;
СФО;Республика Тыва;6;1828;1170;534;636;658;555;103;363;
СФО;Республика Тыва;7;102;43;5;38;59;59;0;0;
СФО;Республика Тыва;8;362;90;7;83;272;21;251;27;
СФО;Республика Тыва;9;4;4;0;4;0;0;0;0;
СФО;Республика Хакасия;3;23331;21035;16439;4596;2296;1797;499;1111;3134
СФО;Республика Хакасия;4;8716;7289;5725;1564;1427;1201;226;1058;
СФО;Республика Хакасия;5;1023;1017;889;128;6;6;0;0;
СФО;Республика Хакасия;6;11871;11394;9242;2152;477;237;240;40;
СФО;Республика Хакасия;7;3254;3041;981;2060;213;60;153;0;
СФО;Республика Хакасия;8;2744;2352;1472;880;392;359;33;13;
СФО;Республика Хакасия;9;929;929;481;448;0;0;0;0;
СФО;Томская область;3;36130;33044;13353;19691;3086;1615;1471;850;2885
СФО;Томская область;4;22760;21057;8222;12835;1703;1082;621;679;
СФО;Томская область;5;11587;10865;3706;7159;722;513;209;418;
СФО;Томская область;6;8882;7937;4019;3918;945;437;508;170;
СФО;Томская область;7;2231;2028;826;1202;203;146;57;0;
СФО;Томская область;8;4488;4050;1112;2938;438;96;342;1;
СФО;Томская область;9;800;800;640;160;0;0;0;0;
УФО;Курганская область;3;36883;31274;20006;11268;5609;3476;2133;3741;9254
УФО;Курганская область;4;17637;15763;11810;3953;1874;1668;206;1236;
УФО;Курганская область;5;6465;6384;4850;1534;81;71;10;70;
УФО;Курганская область;6;14277;13356;7787;5569;921;747;174;393;
