FO_name;Subj_Name;Col_num;1;2;3;4;5;6;7
ДВФО;Чукотский автономный округ;4;0;0;0;0;0;0;0
ДВФО;Чукотский автономный округ;5;0;0;0;0;0;0;0
ДВФО;Чукотский автономный округ;6;0;0;0;0;0;0;0
ДВФО;Чукотский автономный округ;7;0;0;0;0;0;0;0
ДВФО;Чукотский автономный округ;8;0;0;0;0;0;0;0
ДВФО;Чукотский автономный округ;9;0;0;0;0;0;0;0
ДВФО;Чукотский автономный округ;10;1;0;0;0;0;0;0
ДВФО;Чукотский автономный округ;11;0;0;0;0;0;0;0
ДВФО;Чукотский автономный округ;12;0;0;0;0;0;0;0
ДВФО;Чукотский автономный округ;13;0;0;0;0;0;0;0
ДВФО;Чукотский автономный округ;14;0;0;0;0;0;0;0
ДВФО;Чукотский автономный округ;15;0;0;0;0;0;0;0
ДВФО;Чукотский автономный округ;16;0;0;0;0;0;0;0
ДВФО;Чукотский автономный округ;17;0;0;0;0;0;0;0
ДВФО;Чукотский автономный округ;18;0;1;1;0;0;0;0
ДВФО;Чукотский автономный округ;19;0;1;1;0;0;0;0
ДВФО;Чукотский автономный округ;20;0;0;0;0;0;0;0
ДВФО;Чукотский автономный округ;21;0;0;0;0;0;0;0
ДВФО;Чукотский автономный округ;22;0;0;0;0;0;0;0
ДВФО;Чукотский автономный округ;23;0;0;0;0;0;0;0
ПФО;Кировская область;3;61;16;7;3;0;11;4
ПФО;Кировская область;4;1;0;0;0;0;0;0
ПФО;Кировская область;5;1;0;0;0;0;0;0
ПФО;Кировская область;6;1;0;0;0;0;1;0
ПФО;Кировская область;7;0;0;0;0;0;0;0
ПФО;Кировская область;8;1;1;1;0;0;1;0
ПФО;Кировская область;9;1;0;0;0;0;0;0
ПФО;Кировская область;10;8;7;1;1;0;1;1
ПФО;Кировская область;11;6;2;0;0;0;1;1
ПФО;Кировская область;12;7;1;1;0;0;2;1
ПФО;Кировская область;13;5;0;0;0;0;1;1
ПФО;Кировская область;14;11;2;1;1;0;2;1
ПФО;Кировская область;15;9;1;1;0;0;0;1
ПФО;Кировская область;16;9;2;1;1;0;2;0
ПФО;Кировская область;17;5;1;1;0;0;1;0
ПФО;Кировская область;18;10;1;1;0;0;1;0
ПФО;Кировская область;19;8;0;0;0;0;1;0
ПФО;Кировская область;20;8;0;0;0;0;1;1
ПФО;Кировская область;21;3;0;0;0;0;0;0
ПФО;Кировская область;22;5;2;1;0;0;0;0
ПФО;Кировская область;23;2;1;0;0;0;0;0
ПФО;Нижегородская область;3;199;31;21;2;4;5;16
ПФО;Нижегородская область;4;0;1;1;0;0;0;0
ПФО;Нижегородская область;5;0;1;1;0;0;0;0
ПФО;Нижегородская область;6;14;3;0;0;0;0;1
ПФО;Нижегородская область;7;10;2;0;0;0;0;1
ПФО;Нижегородская область;8;19;0;0;0;1;1;3
ПФО;Нижегородская область;9;9;0;0;0;1;0;1
ПФО;Нижегородская область;10;14;4;4;0;1;0;3
ПФО;Нижегородская область;11;6;4;4;0;1;0;3
ПФО;Нижегородская область;12;35;8;8;0;2;0;0
ПФО;Нижегородская область;13;18;1;1;0;1;0;0
ПФО;Нижегородская область;14;26;2;1;1;0;1;0
ПФО;Нижегородская область;15;16;2;1;1;0;0;0
ПФО;Нижегородская область;16;22;2;1;0;0;3;2
ПФО;Нижегородская область;17;9;2;1;0;0;1;2
ПФО;Нижегородская область;18;24;6;2;0;0;0;5
ПФО;Нижегородская область;19;13;5;2;0;0;0;4
ПФО;Нижегородская область;20;19;4;3;1;0;0;1
ПФО;Нижегородская область;21;7;3;2;1;0;0;0
ПФО;Нижегородская область;22;26;1;1;0;0;0;1
ПФО;Нижегородская область;23;13;1;1;0;0;0;1
ПФО;Оренбургская область;3;312;220;217;4;7;6;17
ПФО;Оренбургская область;4;1;1;1;0;0;0;1
ПФО;Оренбургская область;5;0;0;0;0;0;0;1
ПФО;Оренбургская область;6;8;0;0;0;1;1;1
ПФО;Оренбургская область;7;4;0;0;0;0;0;1
ПФО;Оренбургская область;8;23;14;13;1;1;3;2
ПФО;Оренбургская область;9;7;10;10;0;1;0;1
ПФО;Оренбургская область;10;52;26;25;1;1;1;2
ПФО;Оренбургская область;11;26;22;22;0;1;0;0
ПФО;Оренбургская область;12;52;42;42;0;1;1;3
ПФО;Оренбургская область;13;34;36;36;0;0;0;3
ПФО;Оренбургская область;14;58;42;42;1;2;0;4
ПФО;Оренбургская область;15;29;35;35;0;1;0;2
ПФО;Оренбургская область;16;37;31;30;1;0;0;0
ПФО;Оренбургская область;17;17;20;20;0;0;0;0
ПФО;Оренбургская область;18;48;33;33;0;0;0;2
ПФО;Оренбургская область;19;27;27;27;0;0;0;2
ПФО;Оренбургская область;20;23;16;16;0;0;0;0
ПФО;Оренбургская область;21;8;13;13;0;0;0;0
ПФО;Оренбургская область;22;10;15;15;0;1;0;2
ПФО;Оренбургская область;23;3;9;9;0;0;0;0
ПФО;Пензенская область;3;92;62;59;1;2;3;25
ПФО;Пензенская область;4;0;0;0;0;0;0;5
ПФО;Пензенская область;5;0;0;0;0;0;0;5
ПФО;Пензенская область;6;4;1;1;0;0;0;1
ПФО;Пензенская область;7;0;0;0;0;0;0;1
ПФО;Пензенская область;8;7;5;5;0;0;0;3
ПФО;Пензенская область;9;2;3;3;0;0;0;2
ПФО;Пензенская область;10;6;1;1;0;0;1;3
ПФО;Пензенская область;11;4;1;1;0;0;0;2
ПФО;Пензенская область;12;15;11;10;0;1;0;7
ПФО;Пензенская область;13;6;8;8;0;1;0;7
ПФО;Пензенская область;14;12;10;9;0;1;0;4
ПФО;Пензенская область;15;7;9;8;0;1;0;3
ПФО;Пензенская область;16;15;13;13;0;0;0;0
ПФО;Пензенская область;17;11;11;11;0;0;0;0
ПФО;Пензенская область;18;12;6;5;1;0;1;2
ПФО;Пензенская область;19;4;4;4;0;0;0;2
ПФО;Пензенская область;20;8;7;7;0;0;1;0
ПФО;Пензенская область;21;4;5;5;0;0;0;0
ПФО;Пензенская область;22;13;8;8;0;0;0;0
ПФО;Пензенская область;23;4;6;6;0;0;0;0
ПФО;Пермский край;3;191;142;129;6;4;20;30
ПФО;Пермский край;4;3;1;1;0;0;0;0
ПФО;Пермский край;5;2;1;1;0;0;0;0
ПФО;Пермский край;6;4;4;4;0;0;3;5
ПФО;Пермский край;7;3;4;4;0;0;2;3
ПФО;Пермский край;8;19;12;11;1;0;3;5
ПФО;Пермский край;9;10;8;8;0;0;1;3
