FO_name;Subj_Name;Col_num;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37
ДВФО;Приморский край;14;4232;2980;70;300;35;10;9;0;0;14;0;2;0;258;53;71;15;0;90;5;22;2;22;10;11;1;75;75;125;35;90;396;335;50;11;0;322
ДВФО;Приморский край;15;2998;1918;45;282;34;10;9;0;0;13;0;2;0;241;53;69;11;0;79;5;22;2;22;10;7;0;0;0;125;35;82;396;335;50;11;0;248
ДВФО;Приморский край;16;1234;1062;25;18;1;0;0;0;0;1;0;0;0;17;0;2;4;0;11;0;0;0;0;0;4;1;75;75;0;0;8;0;0;0;0;0;74
ДВФО;Республика Бурятия;3;8863;5182;406;1962;84;20;37;10;0;12;1;4;0;1877;108;565;268;0;813;5;114;4;323;34;521;0;205;203;64;28;36;102;97;0;4;1;504
ДВФО;Республика Бурятия;4;23;0;0;3;0;0;0;0;0;0;0;0;0;3;0;0;3;0;0;0;0;0;0;0;0;0;20;20;0;0;0;0;0;0;0;0;0
ДВФО;Республика Бурятия;5;706;139;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92;27;170;0;180;179;0;0;0;0;0;0;0;0;125
ДВФО;Республика Бурятия;6;110;53;0;56;3;0;3;0;0;0;0;0;0;53;5;4;44;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
ДВФО;Республика Бурятия;7;8024;4990;406;1903;81;20;34;10;0;12;1;4;0;1821;103;561;221;0;813;5;114;4;231;7;351;0;4;3;64;28;36;102;97;0;4;1;379
ДВФО;Республика Бурятия;8;2970;965;45;1434;23;0;7;6;0;6;1;3;0;1410;74;434;98;0;742;1;57;4;8;1;21;0;0;0;64;28;36;99;97;0;1;1;379
ДВФО;Республика Бурятия;9;5054;4025;361;469;58;20;27;4;0;6;0;1;0;411;29;127;123;0;71;4;57;0;223;6;330;0;4;3;0;0;0;3;0;0;3;0;0
ДВФО;Республика Бурятия;10;3392;2111;45;599;48;12;10;0;0;24;0;2;0;546;58;290;14;0;168;2;14;0;47;2;139;0;132;129;71;70;1;113;107;0;6;0;180
ДВФО;Республика Бурятия;11;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;53;53;0;0;0;0;0;0;0;0;0
ДВФО;Республика Бурятия;12;74;6;0;4;0;0;0;0;0;0;0;0;0;4;0;0;4;0;0;0;0;0;6;0;6;0;52;52;0;0;0;0;0;0;0;0;0
ДВФО;Республика Бурятия;13;7;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Республика Бурятия;14;3257;2105;45;594;47;12;10;0;0;24;0;1;0;542;58;290;10;0;168;2;14;0;40;1;127;0;27;24;71;70;1;113;107;0;6;0;180
ДВФО;Республика Бурятия;15;1754;1002;30;362;36;9;3;0;0;24;0;0;0;321;49;90;8;0;163;0;11;0;15;1;18;0;0;0;71;70;1;112;106;0;6;0;174
ДВФО;Республика Бурятия;16;1503;1103;15;232;11;3;7;0;0;0;0;1;0;221;9;200;2;0;5;2;3;0;25;0;109;0;27;24;0;0;0;1;1;0;0;0;6
ДВФО;Республика Саха (Якутия);3;37536;11606;1755;21497;2799;568;1519;426;0;237;2;47;0;18563;5287;10530;990;16;898;7;835;0;989;48;902;0;130;130;128;0;128;304;254;5;17;28;1980
ДВФО;Республика Саха (Якутия);4;634;312;9;138;8;0;0;0;0;8;0;0;0;130;0;0;0;0;130;0;0;0;1;0;0;0;0;0;103;0;104;0;0;0;0;0;80
ДВФО;Республика Саха (Якутия);5;11985;975;214;9375;1129;282;562;277;0;2;2;4;0;8217;2401;5063;587;0;8;1;157;0;923;41;668;0;44;44;0;0;0;0;0;0;0;0;0
ДВФО;Республика Саха (Якутия);6;60;39;7;12;8;0;5;0;0;0;0;3;0;4;0;4;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Республика Саха (Якутия);7;24857;10280;1525;11972;1654;286;952;149;0;227;0;40;0;10212;2886;5463;403;16;760;6;678;0;65;7;225;0;86;86;25;0;24;304;254;5;17;28;1900
ДВФО;Республика Саха (Якутия);8;12627;2257;108;9124;1028;176;532;88;0;222;0;10;0;8094;2225;4123;383;10;749;5;599;0;26;7;62;0;86;86;25;0;24;304;254;5;17;28;743
ДВФО;Республика Саха (Якутия);9;12230;8023;1417;2848;626;110;420;61;0;5;0;30;0;2118;661;1340;20;6;11;1;79;0;39;0;163;0;0;0;0;0;0;0;0;0;0;0;1157
ДВФО;Республика Саха (Якутия);10;3324;976;169;1126;145;36;33;51;0;20;0;3;2;981;275;433;134;0;40;6;93;0;167;2;159;0;173;152;13;0;13;128;115;7;6;0;582
ДВФО;Республика Саха (Якутия);11;133;111;5;20;0;0;0;0;0;0;0;0;0;20;0;20;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Республика Саха (Якутия);12;511;2;0;303;87;22;20;45;0;0;0;0;0;216;0;184;32;0;0;0;0;0;93;0;44;0;69;48;0;0;0;0;0;0;0;0;0
ДВФО;Республика Саха (Якутия);13;166;81;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Республика Саха (Якутия);14;2514;782;160;803;58;14;13;6;0;20;0;3;2;745;275;229;102;0;40;6;93;0;72;0;30;0;104;104;13;0;13;128;115;7;6;0;582
ДВФО;Республика Саха (Якутия);15;2062;514;147;682;44;9;13;4;0;18;0;0;0;638;243;207;63;0;37;4;84;0;72;0;26;0;104;104;13;0;13;128;115;7;6;0;523
ДВФО;Республика Саха (Якутия);16;452;268;13;121;14;5;0;2;0;2;0;3;2;107;32;22;39;0;3;2;9;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;59
ДВФО;Сахалинская область;3;25038;19982;3463;3172;200;65;94;2;0;6;16;17;0;2880;644;1582;168;0;71;85;318;12;43;27;44;0;17;1;51;0;51;0;0;0;0;0;1729
ДВФО;Сахалинская область;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Сахалинская область;5;4043;1655;6;2375;69;26;41;1;0;0;0;1;0;2306;452;1391;114;0;20;38;291;0;2;0;10;0;1;0;0;0;0;0;0;0;0;0;0
ДВФО;Сахалинская область;6;87;87;87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Сахалинская область;7;20908;18240;3370;797;131;39;53;1;0;6;16;16;0;574;192;191;54;0;51;47;27;12;41;27;34;0;16;1;51;0;51;0;0;0;0;0;1729
ДВФО;Сахалинская область;8;2765;1039;21;58;4;0;0;0;0;1;0;3;0;54;0;4;0;0;46;0;4;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1667
ДВФО;Сахалинская область;9;18143;17201;3349;739;127;39;53;1;0;5;16;13;0;520;192;187;54;0;5;47;23;12;41;27;34;0;15;0;51;0;51;0;0;0;0;0;62
ДВФО;Сахалинская область;10;1047;741;65;214;5;0;3;0;0;1;0;1;0;209;30;46;44;0;10;4;74;1;21;3;0;11;8;8;11;0;11;26;26;0;0;0;15
ДВФО;Сахалинская область;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Сахалинская область;12;326;237;3;88;0;0;0;0;0;0;0;0;0;88;0;15;10;0;0;4;59;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
