FO_name;Subj_Name;Col_num;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
ПФО;Пермский край;3;36554;22575;15384;667;4123;0;3068;9;0;0;13979;2236,63;9,67;0;536;365;25;41
ПФО;Пермский край;4;3933;1293;1084;667;187;0;22;0;0;0;2640;0;0;0;;;;
ПФО;Пермский край;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
ПФО;Пермский край;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
ПФО;Пермский край;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
ПФО;Пермский край;8;0;8226;5373;0;1524;0;1329;0;0;0;0;0;0;0;;;;
ПФО;Пермский край;9;663;663;553;0;104;0;6;0;0;0;0;0;0;0;;;;
ПФО;Пермский край;10;11613;8167;5435;0;1398;0;1334;0;0;0;3446;0;0;0;;;;
ПФО;Пермский край;11;20590;11386;7294;0;2373;0;1719;0;0;0;9204;0;0;0;;;;
ПФО;Пермский край;12;3688;2359;2102;667;248;0;9;9;0;0;1329;0;0;0;;;;
ПФО;Республика Башкортостан;3;35962;14581;5615;855;6297;0;2669;932;9379;7212;12002;37,16;13,3;0;0;95;95;0
ПФО;Республика Башкортостан;4;200;200;160;0;20;0;20;20;0;0;0;0;0;0;;;;
ПФО;Республика Башкортостан;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
ПФО;Республика Башкортостан;6;5349;712;152;152;560;0;0;0;1628;0;3009;0;0;0;;;;
ПФО;Республика Башкортостан;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
ПФО;Республика Башкортостан;8;0;5873;3542;855;1357;0;974;832;7421;5990;0;0;0;0;;;;
ПФО;Республика Башкортостан;9;1081;1081;147;0;934;0;0;0;0;0;0;0;0;0;;;;
ПФО;Республика Башкортостан;10;30257;8876;4142;855;2388;0;2346;912;9379;7212;12002;0;0;0;;;;
ПФО;Республика Башкортостан;11;3915;3915;867;0;2886;0;162;20;0;0;0;0;0;0;;;;
ПФО;Республика Башкортостан;12;709;709;459;0;89;0;161;0;0;0;0;0;0;0;;;;
ПФО;Республика Марий Эл;3;9984;4947;3418;0;1119;0;410;14;2288;1304;2749;2,26;0;0;20;90;0;0
ПФО;Республика Марий Эл;4;2;2;2;0;0;0;0;0;0;0;0;0;0;0;;;;
ПФО;Республика Марий Эл;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
ПФО;Республика Марий Эл;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
ПФО;Республика Марий Эл;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
ПФО;Республика Марий Эл;8;0;3128;2251;0;647;0;230;9;2288;1304;0;0;0;0;;;;
ПФО;Республика Марий Эл;9;67;67;59;0;3;0;5;5;0;0;0;0;0;0;;;;
ПФО;Республика Марий Эл;10;6642;2338;1659;0;478;0;201;0;2288;1304;2016;0;0;0;;;;
ПФО;Республика Марий Эл;11;2133;2133;1563;0;410;0;160;9;0;0;0;0;0;0;;;;
ПФО;Республика Марий Эл;12;1142;409;137;0;228;0;44;0;0;0;733;0;0;0;;;;
ПФО;Республика Мордовия;3;19348;13132;6511;1428;1986;367;4268;415;1720;535;4496;6824,62;6820,2;0;104;163;10;5
